model,method,target_class,stage_name,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,target_F1@0.5,target_F1@0.95,target_Precision@0.5,target_Precision@0.95,target_Recall@0.5,target_Recall@0.95,target_mAP@0.5,target_mAP@0.5:0.95,target_mAP@0.75,target_mAP@0.95,target_delta_F1@0.5,target_delta_F1@0.95,target_delta_Precision@0.5,target_delta_Precision@0.95,target_delta_Recall@0.5,target_delta_Recall@0.95,target_delta_mAP@0.5,target_delta_mAP@0.5:0.95,target_delta_mAP@0.75,target_delta_mAP@0.95,mixed_delta_F1@0.5,mixed_delta_F1@0.95,mixed_delta_Precision@0.5,mixed_delta_Precision@0.95,mixed_delta_Recall@0.5,mixed_delta_Recall@0.95,mixed_delta_mAP@0.5,mixed_delta_mAP@0.5:0.95,mixed_delta_mAP@0.75,mixed_delta_mAP@0.95,average_forgetting
base,det_lora_grow_freeze,military_aircraft,stage_1,base:det_lora_grow_freeze:military_aircraft:stage_1,42,experiments/suites/thesis_l40_main/extend/model_base/seed_42/det_lora_grow_freeze/military_aircraft/stage_1,0.08006338678646603,0.005863175519149072,0.043591010711263374,0.003204857113560907,0.911770470590629,0.08003263449026353,0.611192558946115,0.4030421971320104,0.4591350237990613,0.010764746052981862,0.026925746009715475,0.002498265093684941,0.013661971830985916,0.0012676056338028169,0.9238095238095239,0.08571428571428572,0.7310556786330357,0.45719247881914715,0.5510338258336243,0.012814990256029132,-0.00031160807588763786,-0.00028105675178476466,-0.00015836380573669082,-0.00014263269647500003,-0.00952380952380949,-0.009523809523809518,-0.023253451176875384,-0.014280290813018626,-0.0022971370086118936,-0.007991910390218423,0.043403649447984874,0.0031917882913444075,0.024780588058358803,0.0018380404657731347,-0.050005977880203445,-0.005830096480658353,-0.01449563408823229,-0.017447553082090117,-0.013741446776961375,-0.007318313837163299,
base,det_lora_grow_freeze,military_aircraft,stage_1,base:det_lora_grow_freeze:military_aircraft:stage_1,43,experiments/suites/thesis_l40_main/extend/model_base/seed_43/det_lora_grow_freeze/military_aircraft/stage_1,0.037376429070206135,0.0029661796655479702,0.019262619313616062,0.0015254225739563183,0.9353903254143683,0.0865093076053081,0.6121602162088559,0.40484303008926087,0.46263266727956304,0.00906615085947629,0.026925746009715475,0.0022206800832755033,0.013661971830985916,0.0011267605633802818,0.9238095238095239,0.0761904761904762,0.7408067701257628,0.453238914977068,0.5478078697617559,0.009971262813110027,0.0,-0.0005551700208188759,0.0,-0.00028169014084507044,0.0,-0.019047619047619035,-0.0035349057051096144,-0.018149344625967512,0.0012486593523526324,-0.009355473477618058,0.001101570301170092,-0.00010587684016121748,0.000622977038969616,-4.821557700321593e-05,-0.023823978463698103,-0.005572684709375358,-0.014384988813019639,-0.02096288242606359,-0.0171752143992403,-0.00418165013371069,
base,det_lora_grow_freeze,military_aircraft,stage_1,base:det_lora_grow_freeze:military_aircraft:stage_1,44,experiments/suites/thesis_l40_main/extend/model_base/seed_44/det_lora_grow_freeze/military_aircraft/stage_1,0.03421039178736429,0.003627090223912039,0.017494944941485638,0.001857491567164158,0.9554278630858586,0.09292510172836067,0.643231050709061,0.42054702210382916,0.47456374949506963,0.014122895807468025,0.027203331020124913,0.0019430950728660651,0.01380281690140845,0.0009859154929577464,0.9333333333333333,0.06666666666666667,0.7486559098829727,0.460080426828272,0.535556439468229,0.0055325846446894035,0.00027758501040943753,0.0,0.00014084507042253468,0.0,0.00952380952380949,0.0,-0.005835953139213701,-0.015255645275870477,-0.014863975992646439,-0.0009840099172251536,-0.001333730777563824,0.0009550855809497202,-0.0007573535261035207,0.0004924368820933551,-0.007383422839275622,0.004421538480905152,0.011392809717664543,-0.0060544837801777,-0.006547761470998836,-0.004624877249015011,
base,det_lora_grow_freeze,military_aircraft,stage_2,base:det_lora_grow_freeze:military_aircraft:stage_2,42,experiments/suites/thesis_l40_main/extend/model_base/seed_42/det_lora_grow_freeze/military_aircraft/stage_2,0.0581576066191054,0.004285011813413065,0.031470449476479014,0.002324376002250377,0.930106507441011,0.07685803131566034,0.6067573719512991,0.39755898475003404,0.45249903201295116,0.010057568853212684,0.027203331020124913,0.0019430950728660651,0.01380281690140845,0.0009859154929577464,0.9333333333333333,0.06666666666666667,0.7337625341303083,0.46214037559465504,0.5642206371815223,0.007963860902219256,0.00027758501040943753,-0.0005551700208188757,0.00014084507042253468,-0.00028169014084507044,0.00952380952380949,-0.01904761904761905,0.0027068554972726755,0.004947896775507887,0.013186811347898009,-0.004851129353809876,0.01352201316167391,0.0009427216117804164,0.0084137320692106,0.0006026949927773848,-0.030470900262435485,-0.005799275090613676,-0.01825933149681158,-0.022707973582255347,-0.02110199594319412,-0.007085454638957597,
base,det_lora_grow_freeze,military_aircraft,stage_2,base:det_lora_grow_freeze:military_aircraft:stage_2,43,experiments/suites/thesis_l40_main/extend/model_base/seed_43/det_lora_grow_freeze/military_aircraft/stage_2,0.04076896074312784,0.003391676866707851,0.021031194012424717,0.0017450798790269284,0.9397147095651445,0.09127121236721286,0.6074306553014471,0.40026318848791265,0.45790440568949614,0.008661454027578548,0.027203331020124913,0.0030534351145038168,0.01380281690140845,0.0015492957746478873,0.9333333333333333,0.10476190476190476,0.7456928176536057,0.45641780379295555,0.5671865061377315,0.0200892261454386,0.00027758501040943753,0.0008327550312283135,0.00014084507042253468,0.00042253521126760555,0.00952380952380949,0.028571428571428567,0.0048860475278429405,0.0031788888158875706,0.01937863637597559,0.010117963332328573,0.0007176519531919973,8.050444653878198e-05,0.0003958452224523401,4.4625710462064356e-05,-0.014740703134566324,0.004761904761904759,-0.02195494444751933,-0.026891602999148667,-0.027477125739396646,-0.003392486487691214,
base,det_lora_grow_freeze,military_aircraft,stage_2,base:det_lora_grow_freeze:military_aircraft:stage_2,44,experiments/suites/thesis_l40_main/extend/model_base/seed_44/det_lora_grow_freeze/military_aircraft/stage_2,0.04179447009267937,0.004357538592501427,0.02167538570196909,0.002266453651099624,0.9524957558192547,0.09117661041152404,0.646601773959131,0.421298864764887,0.47281440694361127,0.011352230223408524,0.026925746009715475,0.0022206800832755033,0.013661971830985916,0.0011267605633802818,0.9238095238095239,0.0761904761904762,0.7471866232817578,0.45338187043369665,0.5328264942451663,0.008279213048940854,-0.00027758501040943753,0.0002775850104094382,-0.00014084507042253468,0.00014084507042253533,-0.00952380952380949,0.009523809523809532,-0.0014692866012149253,-0.006698556394575339,-0.002729945223062691,0.00274662840425145,0.006456779332989174,0.0012798767370801804,0.0035488295067144446,0.0006910270918622425,-0.008762063492171901,-0.0030608272748418874,0.019547557089624634,-0.002112005101079284,-0.0044063362003673445,-0.010117241024618221,
base,det_lora_grow_freeze,military_helicopter,stage_1,base:det_lora_grow_freeze:military_helicopter:stage_1,42,experiments/suites/thesis_l40_main/extend/model_base/seed_42/det_lora_grow_freeze/military_helicopter/stage_1,0.051348616602036705,0.004159520487520673,0.027310721784868194,0.0022089609880618726,0.9454354567271138,0.08398327859555556,0.613097484810509,0.39945539077748027,0.45382937395908995,0.011157290225346039,0.02463991303560105,0.00036235166228825073,0.012477064220183486,0.0001834862385321101,0.9784172661870504,0.014388489208633094,0.7587640930404268,0.3774177072734195,0.37753607335267164,6.221760588208469e-05,0.00036235166228825236,-0.0005435274934323763,0.00018348623853210906,-0.00027522935779816516,0.014388489208633115,-0.021582733812949638,-0.031111370893233015,-0.06101172268577992,-0.07027374456127394,-0.0007217886370101856,0.014688879263555547,0.0014881332597160087,0.008500299131963623,0.0008421443402741003,-0.016340991743718614,-0.001879452375366325,-0.012590708223838343,-0.021034359436620242,-0.019047096616932713,-0.006925769664799122,
base,det_lora_grow_freeze,military_helicopter,stage_1,base:det_lora_grow_freeze:military_helicopter:stage_1,43,experiments/suites/thesis_l40_main/extend/model_base/seed_43/det_lora_grow_freeze/military_helicopter/stage_1,0.03650261232409698,0.003304630448438494,0.018776854537829495,0.0016981485576272762,0.9477313181829429,0.08743386345253999,0.6052044672929273,0.3973472219586757,0.4438367607462111,0.009640196359825234,0.024458737204456925,0.0010870549868647525,0.012385321100917432,0.0005504587155963303,0.9712230215827338,0.04316546762589928,0.827446741827615,0.45592267492457045,0.4847237107196088,0.002988094457506299,0.0005435274934323733,-0.0001811758311441251,0.0002752293577981662,-9.174311926605496e-05,0.021582733812949617,-0.007194244604316544,0.004041521911989143,-0.020659628451409173,-0.04227877595551449,-0.0007299106052601053,0.00022775355506093886,0.00023257394272930632,0.0001372122631830494,0.000124510406667742,-0.011482985695123515,-0.004648128862143469,-0.021340737728948178,-0.028458690556648736,-0.03597112093259225,-0.003607604633361747,
base,det_lora_grow_freeze,military_helicopter,stage_1,base:det_lora_grow_freeze:military_helicopter:stage_1,44,experiments/suites/thesis_l40_main/extend/model_base/seed_44/det_lora_grow_freeze/military_helicopter/stage_1,0.03249030872365287,0.0029757581911570683,0.016589332218491272,0.0015182052230443336,0.9550048632491613,0.0915780267535737,0.6476782063120481,0.4214511849413001,0.4648342093636124,0.015298336181994152,0.024277561373312797,0.0007247033245765015,0.012293577981651376,0.0003669724770642202,0.9640287769784173,0.02877697841726619,0.7911152142877169,0.3993162498563728,0.37463233390033923,0.0011648223645894002,-0.0001811758311441279,-0.00018117583114412553,-9.17431192660554e-05,-9.174311926605507e-05,-0.007194244604316502,-0.007194244604316544,-0.03167958237584878,-0.05013176109219586,-0.10278004004312535,2.5716422449963312e-05,-0.0030538138412752464,0.0003037535481947495,-0.0016629662490978865,0.00015315053797353064,-0.007806422675972868,0.0030744635061181746,0.015839965320651683,-0.005150320942706732,-0.01627730160245605,-0.0034494368744888843,
base,det_lora_grow_freeze,military_helicopter,stage_2,base:det_lora_grow_freeze:military_helicopter:stage_2,42,experiments/suites/thesis_l40_main/extend/model_base/seed_42/det_lora_grow_freeze/military_helicopter/stage_2,0.07226408121706297,0.005523067297601728,0.04106541070889267,0.00313287992188825,0.9296875459861084,0.08032388123514053,0.6058905640684803,0.3951051550339084,0.4472324596384589,0.012213853344640714,0.024277561373312797,0.00036235166228825073,0.012293577981651376,0.0001834862385321101,0.9640287769784173,0.014388489208633094,0.7631207145384392,0.38844947199104796,0.3872525138869957,6.187626093507075e-05,-0.00036235166228825236,0.0,-0.00018348623853210906,0.0,-0.014388489208633115,0.0,0.004356621498012414,0.011031764717628456,0.009716440534324078,-3.4134494701393465e-07,0.034236436075027715,0.0026024475404988015,0.021500977954435188,0.0016336182215255202,-0.032899682432194655,-0.003659397360415026,-0.00026508163318883504,-0.00825342691181824,-0.008625747487789603,-0.006172987245727573,
