model,method,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,matched_F1@0.5,matched_F1@0.95,matched_Precision@0.5,matched_Precision@0.95,matched_Recall@0.5,matched_Recall@0.95,matched_mAP@0.5,matched_mAP@0.5:0.95,matched_mAP@0.75,matched_mAP@0.95,average_forgetting
base,det_lora,base:det_lora,42,experiments/suites/thesis_l40_joint_baseline/model_base/seed_42/det_lora,0.02801272007734491,0.0030300183865416396,0.01422252950180386,0.0015367772545142242,0.961873574555768,0.11009529144770651,0.6205655255767831,0.42809431744827564,0.4950540989450698,0.01012489233825848,0.02697082598064787,0.003508616717281837,0.013678164066424824,0.0017794474252996026,0.9695830114018958,0.12620770402488274,0.7975788924682535,0.5496233280872735,0.6329346226374492,0.02045147376327378,0.0
base,det_lora,base:det_lora,43,experiments/suites/thesis_l40_joint_baseline/model_base/seed_43/det_lora,0.02869042276366297,0.0041571971366486625,0.01457474271611822,0.002111728246000429,0.9660539823809712,0.14138790306071325,0.6358186053516163,0.42860655081449783,0.48786957358632926,0.01423038321194732,0.026991720535182822,0.004100903146324861,0.013688790077050832,0.002079664648795027,0.970197118314985,0.1484145074343505,0.8166912492329669,0.560361865378159,0.6483864239596837,0.017648880282658624,0.0
base,det_lora,base:det_lora,44,experiments/suites/thesis_l40_joint_baseline/model_base/seed_44/det_lora,0.02975010947919633,0.0036468123005647854,0.015132629066032284,0.0018547990698272784,0.9642391863692433,0.1225520354061782,0.6190418105903853,0.42349476695257254,0.4832107087360867,0.017098972794689454,0.026974822224286103,0.0036813791965280922,0.013680271073118986,0.0018668655616904748,0.969259406945619,0.13356175360640446,0.809287202930704,0.5590958270599518,0.6391636021531425,0.02363618354239877,0.0
base,joint_finetuning,base:joint_finetuning,42,experiments/suites/thesis_l40_joint_baseline/model_base/seed_42/joint_finetuning,0.03241737703740925,0.005655767425030226,0.016544775456008763,0.0028866740012587033,0.9962895825072225,0.1759663716285497,0.9336267209179971,0.7050460014948654,0.8167871682954525,0.041819734245251684,,,,,,,,,,,
base,joint_finetuning,base:joint_finetuning,43,experiments/suites/thesis_l40_joint_baseline/model_base/seed_43/joint_finetuning,0.029836828116527433,0.00255547966652513,0.015168505561620018,0.0012979356470896174,0.9864570297556193,0.08966344403431094,0.8460378420848946,0.6040284513442119,0.6948205965876987,0.01393525628388132,,,,,,,,,,,
base,joint_finetuning,base:joint_finetuning,44,experiments/suites/thesis_l40_joint_baseline/model_base/seed_44/joint_finetuning,0.03141227254133048,0.004498169057763024,0.015992703253616628,0.0022885889284704965,0.9875932027457092,0.14731549432555222,0.8704740586638562,0.64282987914821,0.7519925539626314,0.03632423078116307,,,,,,,,,,,
large,det_lora,large:det_lora,42,experiments/suites/thesis_l40_joint_baseline/model_large/seed_42/det_lora,0.027712744044593878,0.0037861698471293136,0.014062706968368774,0.0019200900076812646,0.9741498914606713,0.13954359353614143,0.6902612767658075,0.4867550543343689,0.5453355445820808,0.020941815444524847,0.02749236257125581,0.004189662385780662,0.013942529774129464,0.0021245668884252683,0.9889854796298817,0.15220945089296747,0.8207695214138403,0.5783506930300756,0.6501815194805475,0.027684659804102077,0.0
large,det_lora,large:det_lora,43,experiments/suites/thesis_l40_joint_baseline/model_large/seed_43/det_lora,0.02861942240866221,0.0037770188367656477,0.014530882226960057,0.0019174264320890404,0.9786847251321958,0.12903633538963752,0.6507621020058512,0.45412905422079747,0.5091417781293378,0.014255489440937965,0.027435358448881123,0.0036229844309211296,0.013913780236205613,0.001836878295464676,0.9860687689357038,0.13348943954865192,0.8141456912547675,0.5745233564473567,0.6505156036188494,0.01746969764209608,0.0
large,det_lora,large:det_lora,44,experiments/suites/thesis_l40_joint_baseline/model_large/seed_44/det_lora,0.03130705545177873,0.0035986216670332895,0.01595167226814669,0.0018319412939472553,0.9723355187829892,0.12231979175086514,0.6637570894698591,0.4535947459760778,0.5178344061434774,0.013692570988426684,0.02732759202988626,0.0035529682943484914,0.013858983566277792,0.0018017643969317312,0.9830553554906357,0.12873228921141314,0.8143167350170364,0.5678102754542613,0.6526558675404698,0.023674933753866617,0.0
large,joint_finetuning,large:joint_finetuning,42,experiments/suites/thesis_l40_joint_baseline/model_large/seed_42/joint_finetuning,0.031137315697358763,0.004133140405071527,0.015854028634525622,0.0020998425883928607,0.9946714595298763,0.14844965903030535,0.9000786739352383,0.6599753667147676,0.7654267930855942,0.03938466758673322,,,,,,,,,,,
large,joint_finetuning,large:joint_finetuning,43,experiments/suites/thesis_l40_joint_baseline/model_large/seed_43/joint_finetuning,0.0350367069021607,0.005532463079514706,0.01796547679368405,0.002832930184159702,0.9891326097940949,0.16593350959898753,0.9219509173490087,0.6927541948428124,0.820863869497897,0.043843918874759046,,,,,,,,,,,
large,joint_finetuning,large:joint_finetuning,44,experiments/suites/thesis_l40_joint_baseline/model_large/seed_44/joint_finetuning,0.029395232459600625,0.0026690559235887645,0.014938232786244114,0.0013546099199639196,0.994702280919921,0.1003044245579063,0.8797965053405602,0.635621339256002,0.7453495081341509,0.025191478577346573,,,,,,,,,,,
medium,det_lora,medium:det_lora,42,experiments/suites/thesis_l40_joint_baseline/model_medium/seed_42/det_lora,0.028866659758238336,0.0035298744781984883,0.014662574207908499,0.0017919841623724754,0.9798837658995817,0.12215205901032149,0.658900569292111,0.4570781956574816,0.5242908616380583,0.016677124726180756,0.027556972450663044,0.003358359988241968,0.013975277661122087,0.0017027914880996676,0.9914143825546987,0.12335109977770758,0.8208929743074505,0.5731272279182728,0.6583483336617982,0.024300777927377896,0.0
medium,det_lora,medium:det_lora,43,experiments/suites/thesis_l40_joint_baseline/model_medium/seed_43/det_lora,0.028170082770786916,0.0034815971261678695,0.014296376008486286,0.001766653257212078,0.9798362946947116,0.122610542151865,0.6608830785099763,0.4566759090290567,0.5208120829802826,0.017572157766271617,0.027410177175936728,0.0034654846338065533,0.013900886871942563,0.0017572076161364184,0.985828061614047,0.12654755002588072,0.8208596482096157,0.5711303254024057,0.6548266415047078,0.021176139708467975,0.0
medium,det_lora,medium:det_lora,44,experiments/suites/thesis_l40_joint_baseline/model_medium/seed_44/det_lora,0.030767807831299454,0.00359323533503254,0.01566749882802282,0.0018288529601230453,0.9740027612964584,0.11831635842690087,0.6815152330807415,0.47412487450532526,0.54066268192026,0.015460703722684344,0.027464444113859898,0.0033552027224144666,0.013928329304314575,0.0017011636811998614,0.9882397793800956,0.12338356949900454,0.8137009240408859,0.5729338436450356,0.656844697823486,0.02022393472960417,0.0
