model,method,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,matched_F1@0.5,matched_F1@0.95,matched_Precision@0.5,matched_Precision@0.95,matched_Recall@0.5,matched_Recall@0.95,matched_mAP@0.5,matched_mAP@0.5:0.95,matched_mAP@0.75,matched_mAP@0.95,average_forgetting
base,det_lora,base:det_lora,42,experiments/suites/thesis_l40_main/model_base/seed_42/det_lora,0.02777439301428622,0.003511169858646261,0.014098367437022174,0.0017813647858910498,0.961873574555768,0.12543206692820666,0.6204046114804015,0.42152569375373666,0.48494237465847645,0.011525231114149792,0.027001021952505224,0.003947176603586862,0.013693454586302499,0.0020019409714137717,0.9707820521692817,0.14146755216276494,0.8017537532121466,0.5484977282746651,0.6330322183030213,0.023558319965854165,0.0
base,det_lora,base:det_lora,43,experiments/suites/thesis_l40_main/model_base/seed_43/det_lora,0.029051843485478,0.003520656643998152,0.014763444458507474,0.001789354215739898,0.966796669047208,0.11724711109593432,0.6361491980504008,0.4305271497429168,0.48789630437154513,0.017122261207665832,0.027083640449687762,0.00358296512907655,0.013735462928995685,0.001817035976649622,0.9731766967864589,0.129425048673502,0.8184286593017372,0.5644984458870806,0.6528138023751492,0.017798243669370228,0.0
base,det_lora,base:det_lora,44,experiments/suites/thesis_l40_main/model_base/seed_44/det_lora,0.030159107936543902,0.0036103350059517644,0.015351344970295165,0.0018358920302710803,0.9602538032471696,0.12425249192900861,0.6175471781287097,0.42004749824954785,0.4837293535940461,0.01418576520084383,0.02703121792436258,0.003577759607092768,0.013708745106180175,0.0018144216504146727,0.971981092936668,0.1291909829928742,0.8094658608460007,0.5562548865881111,0.6382393354222996,0.02326458412099722,0.0
base,ewc,base:ewc,42,experiments/suites/thesis_l40_main/model_base/seed_42/ewc,0.17280657891911,0.00693885986087297,0.1634894108492165,0.007269574292038253,0.6283939360596097,0.06451080429145088,0.37519598994498776,0.2583256792075982,0.2917863492788056,0.010250038040931726,,,,,,,,,,,
base,ewc,base:ewc,43,experiments/suites/thesis_l40_main/model_base/seed_43/ewc,0.20983752241503176,0.016380169352149913,0.14604489822218522,0.011239345918184963,0.7983587627289096,0.09223205831433778,0.4496483371285284,0.31313869271167577,0.3506963364221065,0.01884913748957638,,,,,,,,,,,
base,ewc,base:ewc,44,experiments/suites/thesis_l40_main/model_base/seed_44/ewc,0.12235737043861572,0.006679398947659653,0.07918073658761171,0.0042372003018918865,0.7391182938116749,0.08998863224325239,0.36374221627636255,0.2508789009033978,0.28893304266385506,0.011718582797782076,,,,,,,,,,,
base,finetuning,base:finetuning,42,experiments/suites/thesis_l40_main/model_base/seed_42/finetuning,0.07725946553580448,0.0036524704128844837,0.08799505633528054,0.01031959695618233,0.49510793584272667,0.087800034164496,0.3122559617768302,0.20939401299323945,0.22746888870155238,0.02124049693826126,,,,,,,,,,,
base,finetuning,base:finetuning,43,experiments/suites/thesis_l40_main/model_base/seed_43/finetuning,0.10456496385613119,0.004229982888076738,0.1535149810384711,0.004449547888121558,0.37758143000162975,0.03499291679427183,0.24000172128697153,0.1718189023387988,0.1959858480274919,0.0029515467484761645,,,,,,,,,,,
base,finetuning,base:finetuning,44,experiments/suites/thesis_l40_main/model_base/seed_44/finetuning,0.13153665162727485,0.00494998375327889,0.09090077163017905,0.003333537266235796,0.4727247328350912,0.02357053864003644,0.31767290961231615,0.2168594975551593,0.2513556175891814,0.0030404400309389664,,,,,,,,,,,
base,replay,base:replay,42,experiments/suites/thesis_l40_main/model_base/seed_42/replay,0.055424521156209196,0.008809434638056784,0.02910107584501857,0.004596718463531058,0.9695339201109663,0.21101000919019808,0.7318804060007027,0.5323315632364607,0.5861291188347436,0.09508869486750789,,,,,,,,,,,
