model,method,matched_F1@0.5_mean,matched_F1@0.5_std,matched_F1@0.5_min,matched_F1@0.5_max,matched_F1@0.95_mean,matched_F1@0.95_std,matched_F1@0.95_min,matched_F1@0.95_max,matched_Precision@0.5_mean,matched_Precision@0.5_std,matched_Precision@0.5_min,matched_Precision@0.5_max,matched_Precision@0.95_mean,matched_Precision@0.95_std,matched_Precision@0.95_min,matched_Precision@0.95_max,matched_Recall@0.5_mean,matched_Recall@0.5_std,matched_Recall@0.5_min,matched_Recall@0.5_max,matched_Recall@0.95_mean,matched_Recall@0.95_std,matched_Recall@0.95_min,matched_Recall@0.95_max,matched_mAP@0.5_mean,matched_mAP@0.5_std,matched_mAP@0.5_min,matched_mAP@0.5_max,matched_mAP@0.5:0.95_mean,matched_mAP@0.5:0.95_std,matched_mAP@0.5:0.95_min,matched_mAP@0.5:0.95_max,matched_mAP@0.75_mean,matched_mAP@0.75_std,matched_mAP@0.75_min,matched_mAP@0.75_max,matched_mAP@0.95_mean,matched_mAP@0.95_std,matched_mAP@0.95_min,matched_mAP@0.95_max,group_name,num_seeds,seeds,mixed_F1@0.5_mean,mixed_F1@0.5_std,mixed_F1@0.5_min,mixed_F1@0.5_max,mixed_F1@0.95_mean,mixed_F1@0.95_std,mixed_F1@0.95_min,mixed_F1@0.95_max,mixed_Precision@0.5_mean,mixed_Precision@0.5_std,mixed_Precision@0.5_min,mixed_Precision@0.5_max,mixed_Precision@0.95_mean,mixed_Precision@0.95_std,mixed_Precision@0.95_min,mixed_Precision@0.95_max,mixed_Recall@0.5_mean,mixed_Recall@0.5_std,mixed_Recall@0.5_min,mixed_Recall@0.5_max,mixed_Recall@0.95_mean,mixed_Recall@0.95_std,mixed_Recall@0.95_min,mixed_Recall@0.95_max,mixed_mAP@0.5_mean,mixed_mAP@0.5_std,mixed_mAP@0.5_min,mixed_mAP@0.5_max,mixed_mAP@0.5:0.95_mean,mixed_mAP@0.5:0.95_std,mixed_mAP@0.5:0.95_min,mixed_mAP@0.5:0.95_max,mixed_mAP@0.75_mean,mixed_mAP@0.75_std,mixed_mAP@0.75_min,mixed_mAP@0.75_max,mixed_mAP@0.95_mean,mixed_mAP@0.95_std,mixed_mAP@0.95_min,mixed_mAP@0.95_max,forgetting_max,forgetting_mean,forgetting_min,forgetting_std
base,det_lora,0.02703862677551852,3.413329094167386e-05,0.027001021952505224,0.027083640449687762,0.0037026337799187267,0.00017293094733731058,0.003577759607092768,0.003947176603586862,0.013712554207159453,1.7360052835168962e-05,0.013693454586302499,0.013735462928995685,0.0018777995328260221,8.778774119580588e-05,0.0018144216504146727,0.0020019409714137717,0.9719799472974695,0.0009776099068683835,0.9707820521692817,0.9731766967864589,0.1333611946097137,0.005732856836932462,0.1291909829928742,0.14146755216276494,0.8098827577866282,0.0068138816919822,0.8017537532121466,0.8184286593017372,0.5564170202499523,0.0065332715909306605,0.5484977282746651,0.5644984458870806,0.6413617853668233,0.00837217762762308,0.6330322183030213,0.6528138023751492,0.021540382585407206,0.0026488076483362918,0.017798243669370228,0.023558319965854165,base:det_lora,3,"42,43,44",0.028995114812102707,0.0009743818286129955,0.02777439301428622,0.030159107936543902,0.0035473871695320593,4.467902085259318e-05,0.003511169858646261,0.0036103350059517644,0.014737718955274938,0.0005118492785050058,0.014098367437022174,0.015351344970295165,0.001802203677300676,2.404352430796184e-05,0.0017813647858910498,0.0018358920302710803,0.9629746822833819,0.002782277471207847,0.9602538032471696,0.966796669047208,0.12231055665104987,0.00361263615308801,0.11724711109593432,0.12543206692820666,0.6247003292198373,0.008179188201951989,0.6175471781287097,0.6361491980504008,0.42403344724873376,0.004631226946815863,0.42004749824954785,0.4305271497429168,0.4855226775413559,0.0017499396698998047,0.4837293535940461,0.48789630437154513,0.014277752507553152,0.0022859035726786854,0.011525231114149792,0.017122261207665832,0.0,0.0,0.0,0.0
base,ewc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base:ewc,3,"42,43,44",0.1683338239242525,0.035853390359325193,0.12235737043861572,0.20983752241503176,0.009999476053560845,0.004513074725680631,0.006679398947659653,0.016380169352149913,0.1295716818863378,0.03633651314470582,0.07918073658761171,0.1634894108492165,0.007582040170705034,0.0028671399224013397,0.0042372003018918865,0.011239345918184963,0.721956997533398,0.07044095940878142,0.6283939360596097,0.7983587627289096,0.08224383161634702,0.01257254770556976,0.06451080429145088,0.09223205831433778,0.3961955144499596,0.038084996363773105,0.36374221627636255,0.4496483371285284,0.27411442427422394,0.027761289260247533,0.2508789009033978,0.31313869271167577,0.31047190945492237,0.02846680796165337,0.28893304266385506,0.3506963364221065,0.013605919442763395,0.0037556763741069072,0.010250038040931726,0.01884913748957638,,,,
base,finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base:finetuning,3,"42,43,44",0.10445369367307017,0.022158708119567123,0.07725946553580448,0.13153665162727485,0.004277479018080037,0.0005307712180712955,0.0036524704128844837,0.00494998375327889,0.11080360300131023,0.030224792866328606,0.08799505633528054,0.1535149810384711,0.006034227370179895,0.0030642741711011516,0.003333537266235796,0.01031959695618233,0.44847136622648254,0.050952849038387295,0.37758143000162975,0.49510793584272667,0.04878782986626809,0.027977154296909144,0.02357053864003644,0.087800034164496,0.2899768642253726,0.035406892123316984,0.24000172128697153,0.31767290961231615,0.19935747096239917,0.01970977653033517,0.1718189023387988,0.2168594975551593,0.2249367847727419,0.022675412646864485,0.1959858480274919,0.2513556175891814,0.009077494572558797,0.008600618017134179,0.0029515467484761645,0.02124049693826126,,,,
base,replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base:replay,3,"42,43,44",0.07447186428492787,0.022556391776199426,0.055424521156209196,0.10615597931833214,0.0077028982066498315,0.0017935754212892012,0.005173003563860049,0.009126256418032662,0.04005795794431042,0.01272809808096664,0.02910107584501857,0.057904372641030606,0.004091330834877516,0.000972242281949906,0.0027312436438233496,0.004946030397278141,0.9567382364449577,0.011222429346799354,0.9422091437668844,0.9695339201109663,0.15723500068367613,0.040104819782344286,0.11473400227458667,0.21101000919019808,0.7148832416888485,0.016271571234994526,0.6929508086442103,0.7318804060007027,0.5168971746064974,0.015376809760419186,0.49591332459663057,0.5323315632364607,0.5834474781535158,0.023459587884572367,0.5534686586157941,0.6107446570100098,0.05454234766561482,0.030388079472887464,0.021934330834475196,0.09508869486750789,,,,
large,det_lora,0.027439491843107164,4.714453091942189e-05,0.027373856198287836,0.0274824527316352,0.003797564438558727,0.00035627902506131016,0.0033738333323752065,0.004245525476120911,0.013915762252982826,2.392594055666693e-05,0.013882457744681546,0.01393758976001514,0.001925803544940384,0.0001805476429695548,0.0017110864657705332,0.002152822474827902,0.9868782056709631,0.0015900032722211128,0.9846426570779373,0.988205521072456,0.13760159917636808,0.013653193382899307,0.12124789079043387,0.15466843091976448,0.8198558638797303,0.0016109012474993401,0.8186657841999372,0.8221332494066366,0.5743760669530444,0.001503052348107027,0.5732303668220676,0.5764994904444417,0.6536530415802914,0.0006184076532929357,0.6527786722025843,0.6541060592086397,0.024780006677501874,0.003560006022604223,0.01984915552475891,0.028126053911333323,large:det_lora,3,"42,43,44",0.029114547090831843,0.0012242104363614952,0.02810891713137091,0.030837840696848143,0.003650119116880136,0.00039555313172477913,0.0032260723704790814,0.004178104018871639,0.014796238834034078,0.0006444432942618008,0.014268683235255333,0.015703619427797747,0.0018536692317976983,0.00020027198542874305,0.0016371718753943273,0.002120063327966898,0.9777239076700162,0.003192404629151329,0.9735345595503754,0.9812760427837542,0.1286466928409949,0.015400916220547425,0.11332817292384188,0.14971451503827995,0.6580204278909261,0.018150517504307587,0.6327011349140436,0.6743354787173792,0.4578399812958943,0.01107000254478408,0.442264664784992,0.46699678936097166,0.5183979011852885,0.013692363902789913,0.499043968131786,0.528613570218108,0.017249525205166004,0.002115336296453669,0.015727351915147385,0.020240906186581812,0.0,0.0,0.0,0.0
large,ewc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large:ewc,3,"42,43,44",0.1472369760637502,0.009294346215196725,0.13523982543901406,0.1578862061706023,0.00775835549660694,0.0019652911061624517,0.00497901501449477,0.009149912881328987,0.09082546703545873,0.006735079602257009,0.08301674518916549,0.09945315763358302,0.004660135433458384,0.0011560841611688597,0.0030252150157542928,0.005486098723456075,0.8273724432110936,0.01741343198604251,0.8139811417218956,0.8519663118451319,0.08410486618254306,0.00878234320220111,0.07238206314528078,0.09351961047862163,0.45462769669243197,0.03628931318425567,0.4045322510901264,0.4893297513973118,0.3095339462658586,0.017614041181230694,0.2851181668582776,0.3260178103663678,0.35544733985824856,0.019523041863108673,0.328207734336118,0.3729692783975866,0.008898656614407316,0.000749749244736113,0.0078430962030591,0.009513212729580235,,,,
large,finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large:finetuning,3,"42,43,44",0.1127917250778836,0.02023006508042545,0.08600531803028566,0.13488835309136882,0.004520060707143122,0.0006520900728916466,0.0037393273729128345,0.005335484770808418,0.1679870241444189,0.039658967215893744,0.12317331440011309,0.21960088305946937,0.004393280618148521,0.0015186422840239838,0.002258134120023045,0.005661536835834063,0.5083352402136317,0.02026504121233423,0.48198356709916396,0.5312681171037527,0.06463095575264022,0.031244276017557596,0.04215231037190945,0.10881477801694815,0.3408826464157904,0.009000678257480774,0.3282507471754876,0.3485567767415765,0.23265462124850886,0.005443211398816968,0.22579601646251027,0.23911088264196131,0.2645072235793525,0.01411085777514164,0.2508794461463718,0.2839459775388175,0.015593526774404317,0.016582637235263053,0.0034991667246281003,0.03904101219185039,,,,
large,replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large:replay,3,"42,43,44",0.12224541534012164,0.016597956054173208,0.09914398389739325,0.13739906274791672,0.009832678828417348,0.0023229685080235108,0.00671043474545174,0.012278655631255455,0.06917333749951424,0.011293203569329585,0.05355615928689573,0.07987717768197612,0.005604906415934263,0.0014925102390843422,0.0036068322380873926,0.007193142032964791,0.9552052704351869,0.01664593850070596,0.9385494369379067,0.9779404183798995,0.10071976772247089,0.0036142191054757116,0.09731135011024623,0.10572259542883315,0.7287686785249415,0.030057891824124758,0.696327326165138,0.7687776771376355,0.5168291980225637,0.021674630494619804,0.494072399932537,0.5459918742846801,0.6049777744543162,0.020928568944098332,0.5873923036856824,0.6343877577261655,0.021526363676860612,0.004918097384027154,0.016364802209024296,0.02814449939002851,,,,
medium,det_lora,0.027450581926286906,1.4824341268107978e-05,0.02743003020631002,0.027464444113859898,0.00337022484711869,0.0002033198299836536,0.0030889114025983377,0.003562413009742431,0.013921299212422097,7.520884592461289e-06,0.013910871937199629,0.013928329304314575,0.0017088364241097153,0.00010329640671100817,0.0015659179294338875,0.0018064863065832184,0.9877381701178531,0.0005270456867206331,0.9870099172226648,0.9882397793800956,0.1234632433659307,0.006311119563879928,0.11475701697026681,0.1295182853768938,0.8213932694153506,0.005274924989611717,0.8152059631624685,0.8280959641692642,0.5743514462549016,0.0014123238873580961,0.5729747317810234,0.5762929918604686,0.6584321215503232,0.004953655914910063,0.6536957291681577,0.665270552722546,0.022689828594028568,0.0031120157760280397,0.0203773378762887,0.02708895127028908,medium:det_lora,3,"42,43,44",0.02927740087183339,0.0006725101240767548,0.028772888475097763,0.030227872818830274,0.0035344447778675376,0.0002117885496490227,0.003239120101460881,0.00372534004649008,0.014881099946780323,0.00035605990475485766,0.014615771061244731,0.015384396849724489,0.0017957307704258517,0.000108513332795842,0.00164461222792021,0.0018944223713261519,0.9757211020919625,0.0030093402295860894,0.9727237796029048,0.9798362946947116,0.1210168748749157,0.006395804774295723,0.11224564024487547,0.12731522854525068,0.6664237033230151,0.017942125667094702,0.6414512269405171,0.6828037028930485,0.4628396957361602,0.012930081998096924,0.4460298139319027,0.47747772864879506,0.5288243255400621,0.012989353323222895,0.5111985417571163,0.542118708161294,0.018272603203809336,0.0030503502141180517,0.014721068231328417,0.02216896120865276,0.0,0.0,0.0,0.0
medium,ewc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium:ewc,3,"42,43,44",0.16625294707070304,0.01709724448658903,0.15344815146767452,0.1904177084740805,0.01027289480825221,0.002230407388362376,0.008484318218405945,0.013417254438440657,0.10940377096055483,0.015417765414172939,0.09692066634657004,0.13112725822242075,0.006515899344806262,0.0013912838949385017,0.005351080398268732,0.00847159099258006,0.8138988782427375,0.02341489952650203,0.7926871997795469,0.8465259527333945,0.07177425657585551,0.00579378842946706,0.06722268437360658,0.0799504129546766,0.4575873543970299,0.011892440423894283,0.4449790317292317,0.4735309067118119,0.315526722706334,0.004191226769097291,0.3122400275062243,0.3214418145334205,0.3662719745767809,0.0019388252906252963,0.3641090811474157,0.3688128678548083,0.00790499599727551,0.002172845644075843,0.005019618777944677,0.010263018434620234,,,,
